ID,Trial_Num,laser_power,Painrating
1,1,3.5,2
1,2,3.5,3
1,3,3.5,1
1,4,3.5,4
1,5,3.5,1
1,6,3.5,2
1,7,3.5,1
1,8,3.5,5
1,9,3.5,6
1,10,3.5,3
1,11,3.5,2
1,12,3.5,6
1,13,3.5,4
1,14,3.5,4
1,15,3.5,5
1,16,3.5,7
2,1,3.5,3
2,2,3.5,3
2,3,3.5,5
2,4,3.5,4
2,5,3.5,3
2,6,3.5,5
2,7,3.5,4
2,8,3.5,6
2,9,3.5,5
2,10,3.5,6
2,11,3.5,7
2,12,3.5,6
2,13,3.5,6
2,14,3.5,2
2,15,3.5,7
2,16,3.5,4
3,1,3.75,2
3,2,3.75,4
3,3,3.75,5
3,4,3.75,6
3,5,3.75,6
3,6,3.75,7
3,7,3.75,8
3,8,3.75,6
3,9,3.75,5
3,10,3.75,6
3,11,3.75,4
3,12,3.75,7
3,13,3.75,5
3,14,3.75,6
3,15,3.75,5
3,16,3.75,6
4,1,3.25,5
4,2,3.25,8
4,3,3.25,5
4,4,3.25,7
4,5,3.25,5
4,6,3.25,3
4,7,3.25,6
4,8,3.25,7
4,9,3.25,8
4,10,3.25,6
4,11,3.25,9
4,12,3.25,8
4,13,3.25,10
4,14,3.25,5
4,15,3.25,4
4,16,3.25,3
5,1,3,7
5,2,3,9
5,3,3,10
5,4,3,10
5,5,3,8
5,6,3,9
5,7,3,7
5,8,3,7
5,9,3,6
5,10,3,7
5,11,3,9
5,12,3,6
5,13,3,4
5,14,3,5
5,15,3,10
5,16,3,10
6,1,4.25,5
6,2,4.25,6
6,3,4.25,6
6,4,4.25,4
6,5,4.25,6
6,6,4.25,6
6,7,4.25,5
6,8,4.25,5
6,9,4.25,4
6,10,4.25,4
6,11,4.25,4
6,12,4.25,5
6,13,4.25,6
6,14,4.25,6
6,15,4.25,5
6,16,4.25,5
7,1,3.75,3
7,2,3.75,6
7,3,3.75,8
7,4,3.75,8
7,5,3.75,9
7,6,3.75,10
7,7,3.75,10
7,8,3.75,10
7,9,3.75,9
7,10,3.75,4
7,11,3.75,5
7,12,3.75,8
7,13,3.75,4
7,14,3.75,8
7,15,3.75,7
7,16,3.75,8
8,1,4.25,4
8,2,4.25,5
8,3,4.25,6
8,4,4.25,6
8,5,4.25,5
8,6,4.25,4
8,7,4.25,4
8,8,4.25,5
8,9,4.25,4
8,10,4.25,3
8,11,4.25,5
8,12,4.25,2
8,13,4.25,1
