ID,Trial_Num,laser_power,Painrating
1,1,3.5,6
1,2,3.5,9
1,3,2.75,2
1,4,3.5,5
1,5,2.75,3
1,6,2.75,3
1,7,2.75,3
1,8,2.75,3
1,9,2.75,2
1,10,3.5,5
1,11,2.75,3
1,12,3.5,8
1,13,2.75,2
1,14,3.5,8
1,15,3.5,3
1,16,3.5,4
1,17,2.75,2
1,18,3.5,7
1,19,3.5,2
1,20,3.5,4
1,21,3.5,5
1,22,3.5,6
1,23,2.75,2
1,24,3.5,4
1,25,3.5,7
1,26,2.75,2
1,27,2.75,2
1,28,2.75,2
1,29,2.75,2
1,30,2.75,1
1,31,3.5,2
1,32,3.5,7
1,33,2.75,4
1,34,3.5,8
1,35,3.5,6
1,36,2.75,1
1,37,3.5,8
1,38,2.75,3
1,39,2.75,3
1,40,2.75,3
1,41,3.5,6
1,42,3.5,7
1,43,2.75,3
1,44,3.5,7
1,45,2.75,2
1,46,2.75,2
1,47,2.75,2
1,48,2.75,2
1,49,2.75,2
1,50,3.5,8
1,51,2.75,1
1,52,3.5,8
1,53,2.75,1
1,54,3.5,5
1,55,3.5,6
1,56,3.5,3
1,57,2.75,1
1,58,3.5,2
1,59,3.5,9
1,60,3.5,1
1,61,3.5,2
1,62,3.5,3
1,63,2.75,1
1,64,3.5,6
1,65,3.5,6
1,66,2.75,2
1,67,2.75,1
1,68,2.75,1
1,69,2.75,1
1,70,2.75,1
1,71,3.5,6
1,72,3.5,6
1,73,2.75,1
1,74,3.5,1
1,75,3.5,5
1,76,2.75,2
1,77,3.5,4
1,78,2.75,1
1,79,2.75,1
1,80,2.75,1
1,81,3.5,2
1,82,3.5,5
1,83,2.75,1
1,84,3.5,6
1,85,2.75,1
1,86,2.75,2
1,87,2.75,1
1,88,2.75,1
1,89,2.75,6
1,90,3.5,7
1,91,2.75,6
1,92,3.5,9
1,93,2.75,1
1,94,3.5,4
1,95,3.5,6
1,96,3.5,6
1,97,2.75,5
1,98,3.5,5
1,99,3.5,5
1,100,3.5,5
1,101,3.5,2
1,102,3.5,2
1,103,2.75,2
1,104,3.5,5
1,105,3.5,4
1,106,2.75,4
1,107,2.75,1
1,108,2.75,2
1,109,2.75,2
1,110,2.75,1
1,111,3.5,3
1,112,3.5,3
1,113,2.75,1
1,114,3.5,5
1,115,3.5,7
1,116,2.75,5
1,117,3.5,6
1,118,2.75,4
1,119,2.75,3
1,120,2.75,2
1,121,3.5,4
1,122,3.5,6
1,123,2.75,4
1,124,3.5,6
1,125,2.75,4
1,126,2.75,3
1,127,2.75,3
1,128,2.75,2
1,129,2.75,5
1,130,3.5,6
1,131,2.75,3
1,132,3.5,7
1,133,2.75,3
1,134,3.5,6
1,135,3.5,7
1,136,3.5,8
1,137,2.75,3
1,138,3.5,6
1,139,3.5,6
1,140,3.5,7
1,141,3.5,7
1,142,3.5,6
1,143,2.75,5
1,144,3.5,6
1,145,3.5,4
1,146,2.75,3
1,147,2.75,5
1,148,2.75,5
1,149,2.75,6
1,150,2.75,5
1,151,3.5,6
1,152,3.5,8
1,153,2.75,4
1,154,3.5,6
1,155,3.5,8
1,156,2.75,3
1,157,3.5,8
1,158,2.75,2
1,159,2.75,4
1,160,2.75,3
2,1,2.75,6
2,2,2.75,7
2,3,2,4
2,4,2.75,3
2,5,2,4
2,6,2,2
2,7,2,3
2,8,2,3
2,9,2,4
2,10,2.75,6
2,11,2,4
2,12,2.75,7
2,13,2,4
2,14,2.75,6
2,15,2.75,7
2,16,2.75,7
2,17,2,6
2,18,2.75,7
2,19,2.75,6
2,20,2.75,4
2,21,2.75,6
2,22,2.75,7
2,23,2,6
2,24,2.75,4
2,25,2.75,4
2,26,2,3
2,27,2,3
2,28,2,2
2,29,2,2
2,30,2,1
2,31,2.75,4
2,32,2.75,6
2,33,2,6
2,34,2.75,4
2,35,2.75,7
2,36,2,3
2,37,2.75,3
2,38,2,3
2,39,2,6
2,40,2,4
2,41,2.75,3
