ID,Trial_Num,laser_power,Painrating
1,1,3,4
1,2,1.5,2
1,3,4,7
1,4,1.75,4
1,5,3.5,4.5
1,6,1.75,4.3
1,7,2.75,4.7
1,8,1.75,3.8
1,9,4,8
1,10,2.25,5
1,11,3.25,4.8
1,12,2,4.2
1,13,4,6
1,14,2.5,4
1,15,3.5,4.5
1,16,1.25,0
1,17,3,4.5
1,18,2,4
1,19,2.5,4
1,20,3.75,8
1,21,1.75,4
1,22,3.25,3.7
1,23,2.25,4
1,24,1.25,3.8
1,25,3.25,5
1,26,2,3
1,27,3.5,5.5
1,28,1.25,3.5
1,29,3.25,4.8
1,30,1,1.5
1,31,3.75,5
1,32,1.5,3.5
1,33,2.75,5
1,34,1,0
1,35,4,6
1,36,1.5,3
1,37,3,1.5
1,38,1,2.5
1,39,2.75,5
1,40,1.75,4
1,41,2.25,3.8
1,42,3.75,4.5
1,43,1.25,3
1,44,3.5,4
1,45,2,4.2
1,46,1.5,3.9
1,47,3.75,5
1,48,2.25,0
1,49,3.5,6
1,50,1.25,3
1,51,3.25,5
1,52,2.5,4.5
1,53,2.75,4.5
1,54,1,0
1,55,3.75,6.5
1,56,2,1.5
1,57,3,4
1,58,1.5,3.5
1,59,1,2
1,60,4,7
1,61,2.75,4.5
1,62,2.5,3.8
1,63,2.5,4.2
1,64,2.25,3.5
1,65,3,5.5
1,66,3,4.5
1,67,2.5,4.3
1,68,4,6.5
1,69,2,4.1
1,70,3.25,5
1,71,2.25,4.2
1,72,3.75,6.7
1,73,1.25,3.8
1,74,3.5,5.5
1,75,1.5,3.9
1,76,2.25,3.8
1,77,3.75,6
1,78,1.25,2
1,79,4.25,9
1,80,2.75,5.5
1,81,1.5,4
1,82,3,4.5
1,83,2.5,4.6
1,84,3.25,4.7
1,85,2.5,4
1,86,3.75,6.5
1,87,2,4
1,88,3.5,5.5
1,89,2.5,5
1,90,4.25,6.5
1,91,2.5,5
1,92,2.75,4.2
1,93,1,1
1,94,4,7
1,95,1.75,4
1,96,3.25,4.5
1,97,2.75,4.7
1,98,1.75,3.8
1,99,4,6
1,100,1.75,4
1,101,3.25,4.5
1,102,1,3
1,103,3.5,4.8
1,104,2,4
1,105,3.25,4.3
1,106,2.25,3
1,107,3.75,6
1,108,1.5,3.9
1,109,2.75,4.1
1,110,2,4
1,111,2.25,3.8
1,112,4.25,7
1,113,3.5,7.5
1,114,2.25,4
1,115,3.5,5
1,116,1.25,2.5
1,117,4.25,8
1,118,1.25,3.5
1,119,3,4.7
1,120,1.75,0
1,121,1,3
1,122,3.75,6.5
1,123,1.75,0
1,124,2.75,4
1,125,1.25,3
1,126,4,6.8
1,127,1.5,4.2
1,128,3,4.5
1,129,1.5,3
1,130,4.25,7
1,131,1,2
1,132,3,4.7
1,133,1,0
1,134,2,3.5
1,135,4,5.6
2,1,3,6
2,2,2.5,4
2,3,2,3.5
2,4,3.25,6.5
2,5,2.25,3
2,6,1.25,2
2,7,3.5,6.5
2,8,1.5,1.5
2,9,2.25,4
2,10,3.75,7
2,11,1.25,1
2,12,2.75,5
2,13,1.5,1
2,14,3,6.5
2,15,2.5,4
2,16,3.25,7.5
2,17,2.5,5
2,18,3.75,8
2,19,2,4
2,20,3.5,7
2,21,2.5,5.5
2,22,1,2
2,23,2.5,4
2,24,2.75,5.5
2,25,1.75,2
2,26,3.25,6
2,27,1.75,1
2,28,2.75,5.5
2,29,1.75,2
2,30,3.25,6
2,31,1,1
2,32,3.5,6.5
2,33,2,3.5
2,34,3.25,7
2,35,2.25,4.5
2,36,3.75,7.5
2,37,1.5,2
2,38,2.75,5.5
2,39,2,4
2,40,2.25,5
2,41,3.5,7.5
2,42,2.25,3.5
2,43,3.5,6
2,44,1.25,1
2,45,1.25,2.5
2,46,3,5.5
2,47,1.75,3
2,48,1,2
2,49,3.75,7
2,50,1.75,1
2,51,2.75,4.5
2,52,1.25,3
2,53,1.5,3.5
2,54,3,7
2,55,1.5,4
2,56,1,1
2,57,3,7.5
2,58,1,1
2,59,3.75,8
2,60,2,5
2,61,3,3
2,62,1.5,1.5
2,63,4,6
2,64,1.75,4
2,65,3.5,6.5
2,66,1.75,3.5
2,67,2.75,4
2,68,1.75,2
2,69,4,7
2,70,2.25,4
2,71,3.25,5
2,72,2,3.5
2,73,4,7
2,74,2.5,4
2,75,3.5,7
2,76,1.25,3.5
2,77,3,6
2,78,2,4
2,79,2.5,4
2,80,3.75,7
2,81,1.75,4
2,82,3.25,6.5
2,83,2.25,4
2,84,1.25,3
2,85,3.25,5.5
2,86,2,2.5
2,87,3.5,7
2,88,1.25,1
2,89,3.25,6
2,90,1,2
2,91,3.75,6.5
2,92,1.5,1
2,93,2.75,5
2,94,1,2
2,95,4,7.5
2,96,1.5,1
2,97,3,5
2,98,1,1
2,99,2.75,4.5
2,100,1.75,2
2,101,2.25,4.5
2,102,3.75,7.5
2,103,1.25,1
2,104,3.5,6.5
2,105,2,4
2,106,1.5,3
2,107,3.75,7
2,108,2.25,4
2,109,3.5,5.5
2,110,1.25,3
2,111,3.25,6
2,112,2.5,4.5
2,113,2.75,4
2,114,1,1.5
2,115,3.75,5
2,116,2,3.5
2,117,3,5
2,118,1.5,2.5
2,119,1,2
2,120,4,7
2,121,2.75,4
2,122,2.5,4
2,123,2.5,4.5
2,124,2.25,4
2,125,3,6
3,1,3,8
3,2,1.5,6
3,3,4,9
3,4,1.75,4
3,5,3.5,9
3,6,1.75,3
3,7,2.75,6
3,8,1.75,5
3,9,4,9
3,10,2.25,8
3,11,3.25,8
3,12,2,7
3,13,4,9
3,14,2.5,7
3,15,3.5,8
3,16,1.25,6
3,17,3,5
3,18,2,5
3,19,2.5,5
3,20,3.75,10
3,21,1.75,6
3,22,3.25,9
3,23,2.25,3
3,24,1.25,4
3,25,3.25,8
3,26,2,6
3,27,3.5,9
3,28,1.25,7
3,29,3.25,8
3,30,1,5
3,31,3.75,9
3,32,1.5,8
3,33,2.75,9
3,34,1,2
3,35,4,10
3,36,1.5,6
3,37,3,8
3,38,1,2
3,39,2.75,5
3,40,1.75,5
3,41,2.25,7
3,42,3.75,10
3,43,1.25,5
3,44,3.5,9
3,45,2,7
3,46,1.5,0
3,47,3.75,8
3,48,2.25,7
3,49,3.5,9
3,50,1.25,0
3,51,3.25,9
3,52,2.5,8
3,53,2.75,8
3,54,1,8
3,55,3.75,10
3,56,2,6
3,57,3,9
3,58,1.5,5
3,59,1,2
3,60,4,10
3,61,2.75,7
3,62,2.5,9
3,63,2.5,9
3,64,2.25,8
3,65,3,9
3,66,3,8
3,67,1.5,5
3,68,4,10
3,69,1.75,7
3,70,3.5,10
3,71,1.75,4
3,72,2.75,8
3,73,1.75,5
3,74,4,10
3,75,2.25,7
3,76,3.25,8
3,77,2,6
3,78,4,10
3,79,2.5,6
3,80,3.5,9
3,81,1.25,3
3,82,3,7
3,83,2,7
3,84,2.5,8
3,85,3.75,10
3,86,1.75,3
3,87,3.25,8
3,88,2.25,6
3,89,1.25,3
3,90,3.25,9
3,91,2,7
3,92,3.5,10
3,93,1.25,5
3,94,3.25,7
3,95,1,4
3,96,3.75,10
3,97,1.5,6
3,98,2.75,8
3,99,1,3
3,100,4,10
